"date","partner","sector_group","values"
2023-08-01,"CN_X_HK","High-Tech & Strategic",202348
2023-08-01,"CN_X_HK","Traditional & Basic",122579
2023-08-01,"EU27_2020_NEA20","High-Tech & Strategic",253516
2023-08-01,"EU27_2020_NEA20","Traditional & Basic",128811
2023-08-01,"US","High-Tech & Strategic",135645
2023-08-01,"US","Traditional & Basic",34387
2023-08-01,"VN","High-Tech & Strategic",16709
2023-08-01,"VN","Traditional & Basic",14649
2023-09-01,"CN_X_HK","High-Tech & Strategic",217167
2023-09-01,"CN_X_HK","Traditional & Basic",115463
2023-09-01,"EU27_2020_NEA20","High-Tech & Strategic",296900
2023-09-01,"EU27_2020_NEA20","Traditional & Basic",141284
2023-09-01,"US","High-Tech & Strategic",142362
2023-09-01,"US","Traditional & Basic",34773
2023-09-01,"VN","High-Tech & Strategic",17688
2023-09-01,"VN","Traditional & Basic",13557
2023-10-01,"CN_X_HK","High-Tech & Strategic",250391
2023-10-01,"CN_X_HK","Traditional & Basic",120336
2023-10-01,"EU27_2020_NEA20","High-Tech & Strategic",306816
2023-10-01,"EU27_2020_NEA20","Traditional & Basic",149959
2023-10-01,"US","High-Tech & Strategic",139374
2023-10-01,"US","Traditional & Basic",36465
2023-10-01,"VN","High-Tech & Strategic",20252
2023-10-01,"VN","Traditional & Basic",16450
2023-11-01,"CN_X_HK","High-Tech & Strategic",249688
2023-11-01,"CN_X_HK","Traditional & Basic",102299
2023-11-01,"EU27_2020_NEA20","High-Tech & Strategic",315622
2023-11-01,"EU27_2020_NEA20","Traditional & Basic",150229
2023-11-01,"US","High-Tech & Strategic",150832
2023-11-01,"US","Traditional & Basic",35965
2023-11-01,"VN","High-Tech & Strategic",19208
2023-11-01,"VN","Traditional & Basic",13887
2023-12-01,"CN_X_HK","High-Tech & Strategic",193614
2023-12-01,"CN_X_HK","Traditional & Basic",90360
2023-12-01,"EU27_2020_NEA20","High-Tech & Strategic",254887
2023-12-01,"EU27_2020_NEA20","Traditional & Basic",121593
2023-12-01,"US","High-Tech & Strategic",144071
2023-12-01,"US","Traditional & Basic",32953
2023-12-01,"VN","High-Tech & Strategic",15052
2023-12-01,"VN","Traditional & Basic",12403
2024-01-01,"CN_X_HK","High-Tech & Strategic",196478
2024-01-01,"CN_X_HK","Traditional & Basic",98908
2024-01-01,"EU27_2020_NEA20","High-Tech & Strategic",281481
2024-01-01,"EU27_2020_NEA20","Traditional & Basic",132332
2024-01-01,"US","High-Tech & Strategic",134335
2024-01-01,"US","Traditional & Basic",34602
2024-01-01,"VN","High-Tech & Strategic",19679
2024-01-01,"VN","Traditional & Basic",14972
2024-02-01,"CN_X_HK","High-Tech & Strategic",194138
2024-02-01,"CN_X_HK","Traditional & Basic",103794
2024-02-01,"EU27_2020_NEA20","High-Tech & Strategic",293460
2024-02-01,"EU27_2020_NEA20","Traditional & Basic",138945
2024-02-01,"US","High-Tech & Strategic",133373
2024-02-01,"US","Traditional & Basic",36565
2024-02-01,"VN","High-Tech & Strategic",15051
2024-02-01,"VN","Traditional & Basic",14555
2024-03-01,"CN_X_HK","High-Tech & Strategic",222027
2024-03-01,"CN_X_HK","Traditional & Basic",111941
2024-03-01,"EU27_2020_NEA20","High-Tech & Strategic",297319
2024-03-01,"EU27_2020_NEA20","Traditional & Basic",143219
2024-03-01,"US","High-Tech & Strategic",144971
2024-03-01,"US","Traditional & Basic",37463
2024-03-01,"VN","High-Tech & Strategic",16977
2024-03-01,"VN","Traditional & Basic",14813
2024-04-01,"CN_X_HK","High-Tech & Strategic",220364
2024-04-01,"CN_X_HK","Traditional & Basic",104095
2024-04-01,"EU27_2020_NEA20","High-Tech & Strategic",304529
2024-04-01,"EU27_2020_NEA20","Traditional & Basic",146244
2024-04-01,"US","High-Tech & Strategic",143639
2024-04-01,"US","Traditional & Basic",40996
2024-04-01,"VN","High-Tech & Strategic",17354
2024-04-01,"VN","Traditional & Basic",16139
2024-05-01,"CN_X_HK","High-Tech & Strategic",232180
2024-05-01,"CN_X_HK","Traditional & Basic",107968
2024-05-01,"EU27_2020_NEA20","High-Tech & Strategic",280396
2024-05-01,"EU27_2020_NEA20","Traditional & Basic",138332
2024-05-01,"US","High-Tech & Strategic",157173
2024-05-01,"US","Traditional & Basic",38090
2024-05-01,"VN","High-Tech & Strategic",17361
2024-05-01,"VN","Traditional & Basic",15470
2024-06-01,"CN_X_HK","High-Tech & Strategic",205086
2024-06-01,"CN_X_HK","Traditional & Basic",105072
2024-06-01,"EU27_2020_NEA20","High-Tech & Strategic",286899
2024-06-01,"EU27_2020_NEA20","Traditional & Basic",137815
2024-06-01,"US","High-Tech & Strategic",141766
2024-06-01,"US","Traditional & Basic",34676
2024-06-01,"VN","High-Tech & Strategic",17699
2024-06-01,"VN","Traditional & Basic",15849
2024-07-01,"CN_X_HK","High-Tech & Strategic",235402
2024-07-01,"CN_X_HK","Traditional & Basic",134591
2024-07-01,"EU27_2020_NEA20","High-Tech & Strategic",272742
2024-07-01,"EU27_2020_NEA20","Traditional & Basic",138990
2024-07-01,"US","High-Tech & Strategic",148231
2024-07-01,"US","Traditional & Basic",37435
2024-07-01,"VN","High-Tech & Strategic",20486
2024-07-01,"VN","Traditional & Basic",19280
2024-08-01,"CN_X_HK","High-Tech & Strategic",218673
2024-08-01,"CN_X_HK","Traditional & Basic",147030
2024-08-01,"EU27_2020_NEA20","High-Tech & Strategic",239866
2024-08-01,"EU27_2020_NEA20","Traditional & Basic",124644
2024-08-01,"US","High-Tech & Strategic",137229
2024-08-01,"US","Traditional & Basic",34365
2024-08-01,"VN","High-Tech & Strategic",18292
2024-08-01,"VN","Traditional & Basic",16820
2024-09-01,"CN_X_HK","High-Tech & Strategic",231294
2024-09-01,"CN_X_HK","Traditional & Basic",145028
2024-09-01,"EU27_2020_NEA20","High-Tech & Strategic",291912
2024-09-01,"EU27_2020_NEA20","Traditional & Basic",146855
2024-09-01,"US","High-Tech & Strategic",145452
