freq,stk_flow,indic_et,partner,sitc06,geo,TIME_PERIOD,values
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-01-01,5266.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-01-01,17520.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-01-01,4980.9
M,IMP,TRD_VAL,US,SITC5,EA20,2021-01-01,3467.9
M,IMP,TRD_VAL,US,SITC6,EA20,2021-01-01,775.4
M,IMP,TRD_VAL,US,SITC7,EA20,2021-01-01,4666.2
M,IMP,TRD_VAL,US,SITC8,EA20,2021-01-01,1580.4
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-01-01,18.2
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-01-01,194.7
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-01-01,1589.2
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-01-01,756.2
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-02-01,1516.1
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-02-01,3334.4
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-02-01,14076.8
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-02-01,6372.5
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-02-01,3616.5
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-02-01,5819.3
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-02-01,18700.9
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-02-01,5354.1
M,IMP,TRD_VAL,US,SITC5,EA20,2021-02-01,3989.5
M,IMP,TRD_VAL,US,SITC6,EA20,2021-02-01,887.4
M,IMP,TRD_VAL,US,SITC7,EA20,2021-02-01,5120
M,IMP,TRD_VAL,US,SITC8,EA20,2021-02-01,1759.4
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-02-01,18.9
M,IMP,TRD_VAL,VN,SITC6,EA20,2021-02-01,187.9
M,IMP,TRD_VAL,VN,SITC7,EA20,2021-02-01,1262.2
M,IMP,TRD_VAL,VN,SITC8,EA20,2021-02-01,817.6
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2021-03-01,2515.9
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2021-03-01,3756.6
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2021-03-01,17825.4
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2021-03-01,7280.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2021-03-01,4294
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2021-03-01,6809.4
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2021-03-01,21615.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2021-03-01,6052.8
M,IMP,TRD_VAL,US,SITC5,EA20,2021-03-01,4709.1
M,IMP,TRD_VAL,US,SITC6,EA20,2021-03-01,919.2
M,IMP,TRD_VAL,US,SITC7,EA20,2021-03-01,6976.3
M,IMP,TRD_VAL,US,SITC8,EA20,2021-03-01,2248.3
M,IMP,TRD_VAL,VN,SITC5,EA20,2021-03-01,21.7
